ip,id,date,type
127.0.0.1,polly_F6w2lKSC,"February 08, 2024 02:45:27 PM",connect
127.0.0.1,polly_F6w2lKSC,"February 08, 2024 02:45:28 PM",join_room
127.0.0.1,polly_ipKU9e2b,"February 08, 2024 02:46:20 PM",connect
127.0.0.1,polly_ipKU9e2b,"February 08, 2024 02:46:20 PM",join_room
127.0.0.1,polly_ipKU9e2b,"February 08, 2024 02:46:59 PM",leave_room
127.0.0.1,polly_wv7ylWDD,"February 08, 2024 02:47:17 PM",connect
127.0.0.1,polly_wv7ylWDD,"February 08, 2024 02:47:17 PM",join_room
127.0.0.1,polly_8gPxExqa,"February 08, 2024 02:48:42 PM",connect
127.0.0.1,polly_8gPxExqa,"February 08, 2024 02:48:42 PM",join_room
127.0.0.1,polly_8gPxExqa,"February 08, 2024 02:48:56 PM",leave_room
127.0.0.1,polly_8gPxExqa,"February 08, 2024 02:48:56 PM",leave_room
127.0.0.1,polly_kcTeOrr5,"February 08, 2024 02:48:59 PM",connect
127.0.0.1,polly_kcTeOrr5,"February 08, 2024 02:48:59 PM",join_room
127.0.0.1,polly_hIHVdkKd,"February 08, 2024 02:50:09 PM",connect
127.0.0.1,polly_hIHVdkKd,"February 08, 2024 02:50:10 PM",join_room
127.0.0.1,polly_hIHVdkKd,"February 08, 2024 02:50:18 PM",leave_room
127.0.0.1,polly_hIHVdkKd,"February 08, 2024 02:50:18 PM",leave_room
127.0.0.1,polly_iya8u71c,"February 08, 2024 02:50:21 PM",connect
127.0.0.1,polly_iya8u71c,"February 08, 2024 02:50:21 PM",join_room
127.0.0.1,polly_iya8u71c,"February 08, 2024 02:50:46 PM",leave_room
127.0.0.1,polly_MNUw5Cfg,"February 08, 2024 02:50:49 PM",connect
127.0.0.1,polly_MNUw5Cfg,"February 08, 2024 02:50:49 PM",join_room
